keys,en,zh_CN,fr,ja,ko,es
CUSTOM_RUN_ROLE_NAME,Role Name,职责名称,Nom du rôle,ロール名,역할 이름,Nombre del rol
CUSTOM_RUN_PLAYERS_FOR_ROLE,Number of Players for This Role,此职责的玩家数量,Nombre de joueurs pour ce rôle,このロールのプレイヤー数,이 역할의 플레이어 수,Número de jugadores para este rol
CUSTOM_RUN_MIN,Min,最小,Min,最小,최소,Mín
CUSTOM_RUN_MAX_NONE,Max (0 = No Limit),最大（0 = 无限制）,Max (0 = aucun),最大（0 = なし）,최대 (0 = 없음),Máx (0 = ninguno)
CUSTOM_RUN_DELETE_ROLE,Delete Role,删除职责,Supprimer le rôle,ロールを削除,역할 삭제,Eliminar rol
CUSTOM_RUN_STARTING_GOLD,Starting Gold,初始金币,Or de départ,開始ゴールド,시작 골드,Oro inicial
CUSTOM_RUN_STARTING_MAX_HP,Starting Max HP,初始最大生命,PV max de départ,開始最大HP,시작 최대 체력,PV máximos iniciales
CUSTOM_RUN_STARTING_CURRENT_HP,Starting Current HP,初始当前生命,PV actuels de départ,開始時の現在HP,시작 현재 체력,PV actuales iniciales
CUSTOM_RUN_POTION_SLOTS,Potion Slots,药水栏位,Emplacements de potion,ポーションスロット,포션 슬롯,Ranuras de poción
CUSTOM_RUN_BASE_ENERGY_PER_TURN,Base Energy / Turn,每回合基础能量,Énergie de base / tour,基本エナジー / ターン,기본 에너지 / 턴,Energía base / turno
CUSTOM_RUN_CARDS_DRAWN_PER_TURN,Cards Drawn / Turn,每回合抽牌数,Cartes piochées / tour,ドロー枚数 / ターン,드로우 수 / 턴,Cartas robadas / turno
CUSTOM_RUN_STARTING_LOADOUT,Starting Loadout,初始配置,Équipement de départ,開始ロードアウト,시작 로드아웃,Equipamiento inicial
CUSTOM_RUN_PER_CHARACTER,Per Character,按角色,Par personnage,キャラクター別,캐릭터별,Por personaje
CUSTOM_RUN_UNIFIED,Unified,统一,Unifié,共通,통합,Unificado
CUSTOM_RUN_SELECT_CHARACTER_HINT,Select at least one character for per-character loadouts.,请至少选择一个角色以使用按角色配置。,Sélectionnez au moins un personnage pour les équipements par personnage.,キャラクター別ロードアウトには1人以上選択してください。,캐릭터별 로드아웃에는 캐릭터를 하나 이상 선택하세요.,Selecciona al menos un personaje para los equipamientos por personaje.
CUSTOM_RUN_CHARACTER_LOADOUT,Character Loadout,角色配置,Équipement du personnage,キャラクターロードアウト,캐릭터 로드아웃,Equipamiento del personaje
CUSTOM_RUN_NAMED_LOADOUT,{0} Loadout,{0} 配置,Équipement de {0},{0}のロードアウト,{0} 로드아웃,Equipamiento de {0}
CUSTOM_RUN_STARTING_DECK,Starting Deck,初始牌组,Deck de départ,開始デッキ,시작 덱,Mazo inicial
CUSTOM_RUN_STARTING_RELICS,Starting Relics,初始遗物,Reliques de départ,開始レリック,시작 유물,Reliquias iniciales
CUSTOM_RUN_STARTING_POTIONS,Starting Potions,初始药水,Potions de départ,開始ポーション,시작 포션,Pociones iniciales
CUSTOM_RUN_STARTING_POWERS,Starting Powers,初始能力,Pouvoirs de départ,開始時のパワー,시작 파워,Poderes iniciales
CUSTOM_RUN_STARTING_MORPH,Starting Morph,初始变形,Métamorphose de départ,開始時の変身,시작 변신,Transformación inicial
CUSTOM_RUN_REVERT,Revert,还原,Rétablir,元に戻す,되돌리기,Revertir
CUSTOM_RUN_CHARACTER_DEFAULT,Character Default,角色默认,Valeur du personnage,キャラクター既定,캐릭터 기본값,Predeterminado del personaje
CUSTOM_RUN_STARTING_DECK_EMPTY,This starting deck is empty.,此初始牌组为空。,Ce deck de départ est vide.,開始デッキは空です。,시작 덱이 비어 있습니다.,Este mazo inicial está vacío.
CUSTOM_RUN_STARTING_RELICS_EMPTY,This starting relic collection is empty.,此初始遗物收藏为空。,Cette collection de reliques de départ est vide.,開始レリックは空です。,시작 유물 목록이 비어 있습니다.,Esta colección de reliquias iniciales está vacía.
CUSTOM_RUN_STARTING_DECK_INVENTORY_EMPTY,The starting deck is empty.,初始牌组为空。,Le deck de départ est vide.,開始デッキは空です。,시작 덱이 비어 있습니다.,El mazo inicial está vacío.
CUSTOM_RUN_STARTING_RELIC_INVENTORY_EMPTY,The starting relic inventory is empty.,初始遗物栏为空。,L'inventaire de reliques de départ est vide.,開始レリック欄は空です。,시작 유물 보관함이 비어 있습니다.,El inventario de reliquias inicial está vacío.
CUSTOM_RUN_POTION_INVENTORY_FULL,The starting potion inventory is full.,初始药水栏已满。,L'inventaire de potions de départ est plein.,開始ポーション欄は満杯です。,시작 포션 보관함이 가득 찼습니다.,El inventario de pociones inicial está lleno.
CUSTOM_RUN_SELECT_POWERS,Select Powers,选择能力,Sélectionner les pouvoirs,パワーを選択,파워 선택,Seleccionar poderes
CUSTOM_RUN_SELECT_MORPH,Select Morph,选择变形,Sélectionner la métamorphose,変身を選択,변신 선택,Seleccionar transformación
CUSTOM_RUN_NO_STARTING_POWERS,No starting Power amounts.,没有初始能力数值。,Aucune quantité de pouvoirs au départ.,開始時のパワー量はありません。,시작 파워 수치가 없습니다.,No hay cantidades iniciales de poderes.
CUSTOM_RUN_ORIGINAL_CHARACTER_FORM,Original character form.,角色原始形态。,Forme originale du personnage.,元のキャラクター形態。,원래 캐릭터 형태.,Forma original del personaje.
CUSTOM_RUN_STARTS_MORPHED_AS,Starts morphed as {0}.,以 {0} 的变形形态开始。,Commence métamorphosé en {0}.,{0}に変身した状態で開始します。,{0}(으)로 변신한 상태로 시작합니다.,Comienza transformado en {0}.
CUSTOM_RUN_CHARACTER_SELECTION,Character Selection,角色选择,Sélection des personnages,キャラクター選択,캐릭터 선택,Selección de personajes
CUSTOM_RUN_NO_RESTRICTION,No Restriction,无限制,Aucune restriction,制限なし,제한 없음,Sin restricción
CUSTOM_RUN_RESTRICTED,Restricted,受限,Restreint,制限あり,제한됨,Restringido
CUSTOM_RUN_RANDOM,Random,随机,Aléatoire,ランダム,무작위,Aleatorio
CUSTOM_RUN_RULE,Rule,规则,Règle,ルール,규칙,Regla
CUSTOM_RUN_NEW_RULE,New Rule,新建规则,Nouvelle règle,新規ルール,새 규칙,Nueva regla
CUSTOM_RUN_NO_RULES,No rules yet.,尚无规则。,Aucune règle.,ルールはまだありません。,아직 규칙이 없습니다.,Aún no hay reglas.
CUSTOM_RUN_NEW_VARIABLE,New Variable,新建变量,Nouvelle variable,新規変数,새 변수,Nueva variable
CUSTOM_RUN_NO_VARIABLES,No variables yet. Add one then reference it from conditions and actions.,尚无变量。添加后可在条件和操作中引用。,Aucune variable. Ajoutez-en une puis référencez-la dans les conditions et actions.,変数はまだありません。追加後に条件やアクションから参照できます。,아직 변수가 없습니다. 추가한 뒤 조건과 액션에서 참조하세요.,Aún no hay variables. Añade una y úsala en condiciones y acciones.
CUSTOM_RUN_VALUE_TYPE,Value Type,值类型,Type de valeur,値の種類,값 유형,Tipo de valor
CUSTOM_RUN_NUMBER,Number,数值,Nombre,数値,숫자,Número
CUSTOM_RUN_BOOLEAN,Boolean,逻辑值,Booléen,真偽値,불리언,Booleano
CUSTOM_RUN_DEFAULT_VALUE,Default Value,默认值,Valeur par défaut,既定値,기본값,Valor predeterminado
CUSTOM_RUN_TRUE,True,真,Vrai,真,참,Verdadero
CUSTOM_RUN_FALSE,False,假,Faux,偽,거짓,Falso
CUSTOM_RUN_SCOPE_RUN,Run,本局游戏,Partie,ラン,런,Partida
CUSTOM_RUN_SCOPE_PLAYER,Player,玩家,Joueur,プレイヤー,플레이어,Jugador
CUSTOM_RUN_SCOPE_COMBAT,Combat,战斗,Combat,戦闘,전투,Combate
CUSTOM_RUN_STABLE_ID,Stable ID: {0},稳定 ID：{0},ID stable : {0},固定ID: {0},고정 ID: {0},ID estable: {0}
CUSTOM_RUN_DEFINED_COUNT,{0} defined,已定义 {0} 个,{0} définies,{0}件を定義済み,{0}개 정의됨,{0} definidas
CUSTOM_RUN_WHEN,When,触发扳机,Quand,WHEN,WHEN,Cuando
CUSTOM_RUN_IF,If,判定条件,Si,IF,IF,Si
CUSTOM_RUN_THEN,Then,后续结果,Alors,THEN,THEN,Entonces
CUSTOM_RUN_LIMIT,Limit,触发限制,Limite,制限,제한,Límite
CUSTOM_RUN_MATCH,Match,匹配,Correspondance,一致,일치,Coincidencia
CUSTOM_RUN_GROUP,Group,组,Groupe,グループ,그룹,Grupo
CUSTOM_RUN_GROUP_NUMBER,Group {0},组 {0},Groupe {0},グループ {0},그룹 {0},Grupo {0}
CUSTOM_RUN_ALL_AND,All (AND),全部（且）,Tous (ET),すべて（AND）,모두 (AND),Todos (Y)
CUSTOM_RUN_ANY_OR,Any (OR),任意（或）,Au moins un (OU),いずれか（OR）,하나 이상 (OR),Cualquiera (O)
CUSTOM_RUN_CONDITION,Condition,条件,Condition,条件,조건,Condición
CUSTOM_RUN_ACTION,Action,操作,Action,アクション,액션,Acción
CUSTOM_RUN_DELETE_GROUP,Delete Group,删除组,Supprimer le groupe,グループを削除,그룹 삭제,Eliminar grupo
CUSTOM_RUN_NO_CONDITIONS,No conditions. This group currently passes automatically.,无条件。此组当前自动通过。,Aucune condition. Ce groupe réussit automatiquement.,条件はありません。このグループは自動的に通過します。,조건이 없습니다. 이 그룹은 자동으로 통과합니다.,Sin condiciones. Este grupo se cumple automáticamente.
CUSTOM_RUN_NO_ACTIONS,No actions. Add at least one action before saving.,无操作。保存前请至少添加一个操作。,Aucune action. Ajoutez-en au moins une avant d'enregistrer.,アクションがありません。保存前に1つ以上追加してください。,액션이 없습니다. 저장하기 전에 하나 이상 추가하세요.,Sin acciones. Añade al menos una antes de guardar.
CUSTOM_RUN_FREQUENCY,Frequency,频率,Fréquence,頻度,빈도,Frecuencia
CUSTOM_RUN_MAXIMUM_EXECUTIONS,Maximum executions,最大执行次数,Exécutions maximales,最大実行回数,최대 실행 횟수,Ejecuciones máximas
CUSTOM_RUN_UNTIL_IF,Until If,直到满足,Until If,UNTIL IF,UNTIL IF,Hasta que
CUSTOM_RUN_TRIGGER,Trigger,触发器,Déclencheur,トリガー,트리거,Activador
CUSTOM_RUN_NOT,Not,非,NON,NOT,NOT,NO
CUSTOM_RUN_INVERT_CONDITION,Invert this condition,反转此条件,Inverser cette condition,この条件を反転,이 조건 반전,Invertir esta condición
CUSTOM_RUN_NOT_AVAILABLE_FOR_TRIGGER,  (not available for this trigger),  （不适用于此触发器）,  (indisponible pour ce déclencheur),  （このトリガーでは使用不可）,  (이 트리거에서 사용 불가),  (no disponible para este activador)
CUSTOM_RUN_COMPONENT_UNAVAILABLE,Component '{0}' is unavailable. Install its defining mod or choose another component.,组件“{0}”不可用。请安装定义它的模组或选择其他组件。,Le composant « {0} » est indisponible. Installez son mod ou choisissez-en un autre.,コンポーネント「{0}」は使用できません。定義元Modを導入するか別のものを選んでください。,구성 요소 '{0}'을(를) 사용할 수 없습니다. 해당 모드를 설치하거나 다른 구성 요소를 선택하세요.,El componente «{0}» no está disponible. Instala su mod o elige otro componente.
CUSTOM_RUN_NO_PARAMETERS,This component has no parameters.,此组件没有参数。,Ce composant n'a aucun paramètre.,このコンポーネントにパラメーターはありません。,이 구성 요소에는 매개변수가 없습니다.,Este componente no tiene parámetros.
CUSTOM_RUN_PARAMETER_EDITOR_UNAVAILABLE,{0}: this parameter editor is not available yet.,{0}：此参数编辑器尚不可用。,{0} : cet éditeur de paramètre n'est pas encore disponible.,{0}: このパラメーターエディターはまだ使用できません。,{0}: 이 매개변수 편집기는 아직 사용할 수 없습니다.,{0}: este editor de parámetros aún no está disponible.
CUSTOM_RUN_NOT_SELECTED,Not selected,未选择,Non sélectionné,未選択,선택 안 함,Sin seleccionar
CUSTOM_RUN_CLEAR,Clear,清除,Effacer,クリア,지우기,Borrar
CUSTOM_RUN_CLICK_CLEAR_SELECTION,Click to clear this selection.,点击以清除此选择。,Cliquez pour effacer cette sélection.,クリックして選択を解除します。,클릭하여 선택을 지웁니다.,Haz clic para borrar esta selección.
CUSTOM_RUN_CLICK_REMOVE_SELECTION,Click to remove this selection.,点击以移除此选择。,Cliquez pour retirer cette sélection.,クリックしてこの選択を削除します。,클릭하여 이 선택을 제거합니다.,Haz clic para quitar esta selección.
CUSTOM_RUN_CLICK_REMOVE_CARD,Click to remove this card.,点击以移除此牌。,Cliquez pour retirer cette carte.,クリックしてこのカードを削除します。,클릭하여 이 카드를 제거합니다.,Haz clic para quitar esta carta.
CUSTOM_RUN_MATCH_KIND_BY,Match {0} by,按以下方式匹配{0},Faire correspondre {0} par,{0}の照合方法,{0} 일치 기준,Coincidir {0} por
CUSTOM_RUN_TITLE_OR_TEXT_CONTAINS,Title or text contains,标题或文本包含,Le titre ou le texte contient,タイトルまたは本文に含む,제목 또는 텍스트에 포함,El título o texto contiene
CUSTOM_RUN_TEXT_TO_FIND,Text to find,要查找的文本,Texte à rechercher,検索するテキスト,찾을 텍스트,Texto que buscar
CUSTOM_RUN_NO_MATCH_VALUES,No {0} values are available.,没有可用的{0}值。,Aucune valeur {0} disponible.,使用可能な{0}の値はありません。,사용 가능한 {0} 값이 없습니다.,No hay valores de {0} disponibles.
CUSTOM_RUN_SPECIFIC_KIND,Specific {0},指定{0},{0} spécifiques,特定の{0},특정 {0},{0} específicos
CUSTOM_RUN_NO_KIND_SELECTED,No {0} selected,未选择{0},Aucun {0} sélectionné,{0}が選択されていません,{0} 선택 안 됨,No se seleccionó ningún {0}
CUSTOM_RUN_MORE_SUMMARY,{0}  +{1} more,{0}  +另外 {1} 个,{0}  +{1} autres,{0}  +他{1}件,{0}  +{1}개 더,{0}  +{1} más
CUSTOM_RUN_CARD_TYPE,Card type,卡牌类型,Type de carte,カードタイプ,카드 유형,Tipo de carta
CUSTOM_RUN_ENERGY_COST,Energy cost,能量费用,Coût en énergie,エナジーコスト,에너지 비용,Coste de energía
CUSTOM_RUN_MONSTER_CATEGORY,Monster category,怪物类型,Catégorie de monstre,モンスターカテゴリー,몬스터 분류,Categoría de monstruo
CUSTOM_RUN_CATEGORY,Category,类别,Catégorie,カテゴリー,분류,Categoría
CUSTOM_RUN_POOL,Pool,卡池,Réserve,プール,풀,Colección
CUSTOM_RUN_MOD,Mod,模组,Mod,Mod,모드,Mod
CUSTOM_RUN_KIND_POOL,{0} pool,{0}池,Réserve de {0},{0}プール,{0} 풀,Colección de {0}
CUSTOM_RUN_POTIONS,Potions,药水,Potions,ポーション,포션,Pociones
CUSTOM_RUN_MONSTER,monster,怪物,monstre,モンスター,몬스터,monstruo
CATEGORY_CARD,card,卡牌,carte,カード,카드,carta
CUSTOM_RUN_UNPLAYABLE,Unplayable,无法打出,Injouable,プレイ不可,사용 불가,No jugable
CUSTOM_RUN_MISSING_VALUE,Missing: {0},缺失：{0},Manquant : {0},不足: {0},누락: {0},Falta: {0}
CUSTOM_RUN_NO_ROLES_DEFINED,No roles defined,未定义职责,Aucun rôle défini,ロール未定義,정의된 역할 없음,No hay roles definidos
CUSTOM_RUN_NO_VARIABLES_DEFINED,No variables defined,未定义变量,Aucune variable définie,変数未定義,정의된 변수 없음,No hay variables definidas
CUSTOM_RUN_CONSTANT,Constant,常量,Constante,定数,상수,Constante
CUSTOM_RUN_VARIABLE,Variable,变量,Variable,変数,변수,Variable
CUSTOM_RUN_EVENT_VALUE,Event Value,事件值,Valeur d'événement,イベント値,이벤트 값,Valor del evento
CUSTOM_RUN_INTEGER,Integer,整数,Entier,整数,정수,Entero
CUSTOM_RUN_DOUBLE,Double,小数,Décimal,小数,실수,Decimal
CUSTOM_RUN_MISSING_OR_NON_NUMBER,Missing or non-Number: {0},缺失或非数值：{0},Manquant ou non numérique : {0},不足または数値以外: {0},누락 또는 숫자 아님: {0},Falta o no es numérico: {0}
CUSTOM_RUN_NO_NUMBER_VARIABLES,No number variables,没有数值变量,Aucune variable numérique,数値変数なし,숫자 변수 없음,No hay variables numéricas
CUSTOM_RUN_GOLD,Gold,金币,Or,ゴールド,골드,Oro
CUSTOM_RUN_ENERGY,Energy,能量,Énergie,エナジー,에너지,Energía
CUSTOM_RUN_PLAYER_COUNT,Player Count,玩家数量,Nombre de joueurs,プレイヤー数,플레이어 수,Número de jugadores
CUSTOM_RUN_LIMIT_UNLIMITED,Unlimited,无限制,Illimité,無制限,무제한,Ilimitado
CUSTOM_RUN_LIMIT_ONCE_PER_EVENT_CHAIN,Once per event chain,每个事件链一次,Une fois par chaîne d'événements,イベントチェーンごとに1回,이벤트 연쇄당 1회,Una vez por cadena de eventos
CUSTOM_RUN_LIMIT_ONCE_PER_TURN,Once per turn,每回合一次,Une fois par tour,ターンごとに1回,턴당 1회,Una vez por turno
CUSTOM_RUN_LIMIT_N_PER_TURN,N times per turn,每回合 N 次,N fois par tour,ターンごとにN回,턴당 N회,N veces por turno
CUSTOM_RUN_LIMIT_ONCE_PER_COMBAT,Once per combat,每场战斗一次,Une fois par combat,戦闘ごとに1回,전투당 1회,Una vez por combate
CUSTOM_RUN_LIMIT_N_PER_COMBAT,N times per combat,每场战斗 N 次,N fois par combat,戦闘ごとにN回,전투당 N회,N veces por combate
CUSTOM_RUN_LIMIT_ONCE_PER_RUN,Once per run,每局一次,Une fois par partie,ランごとに1回,런당 1회,Una vez por partida
CUSTOM_RUN_LIMIT_N_PER_RUN,N times per run,每局 N 次,N fois par partie,ランごとにN回,런당 N회,N veces por partida
CUSTOM_RUN_LIMIT_UNTIL_CONDITION,Until condition,直到满足条件,Jusqu'à la condition,条件まで,조건까지,Hasta la condición
CUSTOM_RUN_LIMIT_UNLIMITED_LOWER,unlimited,无限制,illimité,無制限,무제한,ilimitado
CUSTOM_RUN_LIMIT_ONCE_PER_EVENT_CHAIN_LOWER,once per event chain,每个事件链一次,une fois par chaîne d'événements,イベントチェーンごとに1回,이벤트 연쇄당 1회,una vez por cadena de eventos
CUSTOM_RUN_LIMIT_PER_TURN,{0} per turn,每回合 {0} 次,{0} par tour,ターンごとに{0}回,턴당 {0}회,{0} por turno
CUSTOM_RUN_LIMIT_PER_COMBAT,{0} per combat,每场战斗 {0} 次,{0} par combat,戦闘ごとに{0}回,전투당 {0}회,{0} por combate
CUSTOM_RUN_LIMIT_PER_RUN,{0} per run,每局 {0} 次,{0} par partie,ランごとに{0}回,런당 {0}회,{0} por partida
CUSTOM_RUN_LIMIT_UNTIL_CONDITION_LOWER,until condition,直到满足条件,jusqu'à la condition,条件まで,조건까지,hasta la condición
CUSTOM_RUN_PLAYER,Player,玩家,Joueur,プレイヤー,플레이어,Jugador
CUSTOM_RUN_PLAYER_YOU,Player {0} (You),玩家 {0}（你）,Joueur {0} (vous),プレイヤー{0}（あなた）,플레이어 {0} (나),Jugador {0} (tú)
CUSTOM_RUN_ROLE,Role,职责,Rôle,ロール,역할,Rol
CUSTOM_RUN_ROLES,Roles,职责,Rôles,ロール,역할,Roles
CUSTOM_RUN_LOCK_IN_ROLE,Lock In Role,锁定职责,Verrouiller le rôle,ロールを確定,역할 확정,Fijar rol
CUSTOM_RUN_UNLOCK_ROLE,Unlock Role,解锁职责,Déverrouiller le rôle,ロールの確定を解除,역할 확정 해제,Desbloquear rol
CUSTOM_RUN_ROLES_RESOLVE_ON_EMBARK,Roles resolve on embark,职责将在出发时确定,Les rôles sont résolus au départ,ロールは出発時に決定,역할은 출발 시 결정됩니다,Los roles se resuelven al partir
CUSTOM_RUN_MAX_SUFFIX, - MAX {0}, - 最大 {0}, - MAX {0}, - 最大 {0}, - 최대 {0}, - MÁX {0}
CUSTOM_RUN_MAX_SPACED,    MAX {0},    最大 {0},    MAX {0},    最大 {0},    최대 {0},    MÁX {0}
CUSTOM_RUN_ROLE_AT_CAPACITY,That role is already at maximum capacity.,该职责已达到人数上限。,Ce rôle a déjà atteint sa capacité maximale.,そのロールは定員に達しています。,해당 역할은 이미 최대 인원입니다.,Ese rol ya alcanzó su capacidad máxima.
CUSTOM_RUN_WAIT_FOR_ROLE_LOCKS,Wait for every player to lock in a role.,请等待所有玩家锁定职责。,Attendez que chaque joueur verrouille un rôle.,全プレイヤーがロールを確定するまで待ってください。,모든 플레이어가 역할을 확정할 때까지 기다리세요.,Espera a que todos los jugadores confirmen un rol.
CUSTOM_RUN_ROLE_MINIMUMS_NOT_FILLED,The required role minimums have not been filled.,尚未满足所需职责的最低人数。,Les minimums requis pour les rôles ne sont pas atteints.,必要なロールの最低人数を満たしていません。,필수 역할의 최소 인원이 충족되지 않았습니다.,No se han alcanzado los mínimos de rol requeridos.
CUSTOM_RUN_RANDOM_ROLE,Random role,随机职责,Rôle aléatoire,ランダムロール,무작위 역할,Rol aleatorio
CUSTOM_RUN_CHOOSING_ROLE,Choosing role...,正在选择职责……,Choix du rôle...,ロール選択中...,역할 선택 중...,Eligiendo rol...
CUSTOM_RUN_UNKNOWN_ROLE,Unknown Role,未知职责,Rôle inconnu,不明なロール,알 수 없는 역할,Rol desconocido
CUSTOM_RUN_NO_DESCRIPTION,No description.,无描述。,Aucune description.,説明なし。,설명 없음.,Sin descripción.
CUSTOM_RUN_EDIT,Edit,编辑,Modifier,編集,편집,Editar
CUSTOM_RUN_EDIT_NAMED,Edit {0},编辑 {0},Modifier {0},{0}を編集,{0} 편집,Editar {0}
CUSTOM_RUN_DUPLICATE_NAMED,Duplicate {0},复制 {0},Dupliquer {0},{0}を複製,{0} 복제,Duplicar {0}
CUSTOM_RUN_DELETE_NAMED,Delete {0},删除 {0},Supprimer {0},{0}を削除,{0} 삭제,Eliminar {0}
CUSTOM_RUN_ENABLE_RULE,Enable rule,启用规则,Activer la règle,ルールを有効化,규칙 활성화,Activar regla
CUSTOM_RUN_DISABLE_RULE,Disable rule,禁用规则,Désactiver la règle,ルールを無効化,규칙 비활성화,Desactivar regla
CUSTOM_RUN_ENABLE_PERMANENT_RULE,Enable permanent rule,启用永久规则,Activer la règle permanente,恒久ルールを有効化,영구 규칙 활성화,Activar regla permanente
CUSTOM_RUN_DISABLE_PERMANENT_RULE,Disable permanent rule,禁用永久规则,Désactiver la règle permanente,恒久ルールを無効化,영구 규칙 비활성화,Desactivar regla permanente
CUSTOM_RUN_PERMANENT,Permanent,永久,Permanent,恒久,영구,Permanente
CUSTOM_RUN_PERMANENT_COPY_ACTIVE,Permanent copy active  •  {0},永久副本已启用  •  {0},Copie permanente active  •  {0},恒久コピー有効  •  {0},영구 복사본 활성  •  {0},Copia permanente activa  •  {0}
CUSTOM_RUN_SUPPRESSED_BY_PERMANENT,Disabled here because an enabled Permanent Rule has identical behavior,此处已禁用，因为启用的永久规则具有相同行为,Désactivée ici car une règle permanente active a le même comportement,同じ動作の恒久ルールが有効なためここでは無効です,동일한 동작의 영구 규칙이 활성화되어 여기서는 비활성화됩니다,Desactivada aquí porque una regla permanente activa tiene el mismo comportamiento
CUSTOM_RUN_CHOOSE_TRIGGER,Choose a trigger,选择触发器,Choisir un déclencheur,トリガーを選択,트리거 선택,Elige un activador
CUSTOM_RUN_UNCONFIGURED_TRIGGER,Unconfigured trigger,未配置的触发器,Déclencheur non configuré,未設定のトリガー,설정되지 않은 트리거,Activador sin configurar
CUSTOM_RUN_ONE_CONDITION,1 condition,1 个条件,1 condition,条件1件,조건 1개,1 condición
CUSTOM_RUN_CONDITION_COUNT,{0} conditions,{0} 个条件,{0} conditions,条件{0}件,조건 {0}개,{0} condiciones
CUSTOM_RUN_ONE_ACTION,1 action,1 个操作,1 action,アクション1件,액션 1개,1 acción
CUSTOM_RUN_ACTION_COUNT,{0} actions,{0} 个操作,{0} actions,アクション{0}件,액션 {0}개,{0} acciones
CUSTOM_RUN_RULE_SHORT_SUMMARY,{0} · {1},{0} · {1},{0} · {1},{0} · {1},{0} · {1},{0} · {1}
CUSTOM_RUN_RULE_SUMMARY,WHEN {0}  •  {1}  •  {2}  •  {3},何时 {0}  •  {1}  •  {2}  •  {3},QUAND {0}  •  {1}  •  {2}  •  {3},WHEN {0}  •  {1}  •  {2}  •  {3},WHEN {0}  •  {1}  •  {2}  •  {3},CUANDO {0}  •  {1}  •  {2}  •  {3}
CUSTOM_RUN_RULE_COUNTS,SCENARIO  {0}    •    PERMANENT  {1}    •    SUPPRESSED  {2}    •    EFFECTIVE  {3},场景  {0}    •    永久  {1}    •    已抑制  {2}    •    生效  {3},SCÉNARIO  {0}    •    PERMANENTES  {1}    •    MASQUÉES  {2}    •    EFFECTIVES  {3},シナリオ  {0}    •    恒久  {1}    •    抑制  {2}    •    有効  {3},시나리오  {0}    •    영구  {1}    •    억제  {2}    •    유효  {3},ESCENARIO  {0}    •    PERMANENTES  {1}    •    SUPRIMIDAS  {2}    •    EFECTIVAS  {3}
CUSTOM_RUN_CREATE_NEW,Create New Custom Run,新建自定义游戏,Créer une partie personnalisée,新しいカスタムランを作成,새 커스텀 런 만들기,Crear partida personalizada
CUSTOM_RUN_IMPORT,Import,导入,Importer,インポート,가져오기,Importar
CUSTOM_RUN_EXPORT,Export,导出,Exporter,エクスポート,내보내기,Exportar
CUSTOM_RUN_IMPORT_AND_PLAY,Import and Play,导入并游玩,Importer et jouer,インポートしてプレイ,가져와서 플레이,Importar y jugar
CUSTOM_RUN_PLAY,Play,游玩,Jouer,プレイ,플레이,Jugar
CUSTOM_RUN_LOBBY,Lobby,大厅,Lobby,ロビー,로비,Sala
CUSTOM_RUN_LOBBY_CUSTOM_RUN,Lobby Custom Run,大厅自定义游戏,Partie personnalisée du lobby,ロビーのカスタムラン,로비 커스텀 런,Partida personalizada de la sala
CUSTOM_RUN_YOUR_CUSTOM_RUNS,Your Custom Runs,你的自定义游戏,Vos parties personnalisées,自分のカスタムラン,내 커스텀 런,Tus partidas personalizadas
CUSTOM_RUN_NO_PERMANENT_RULES,No permanent rules have been saved yet.,尚未保存永久规则。,Aucune règle permanente enregistrée.,恒久ルールはまだ保存されていません。,저장된 영구 규칙이 없습니다.,Aún no se han guardado reglas permanentes.
CUSTOM_RUN_PERMANENT_RULE_ENABLED,Permanent rule enabled.,已启用永久规则。,Règle permanente activée.,恒久ルールを有効にしました。,영구 규칙을 활성화했습니다.,Regla permanente activada.
CUSTOM_RUN_PERMANENT_RULE_DISABLED,Permanent rule disabled.,已禁用永久规则。,Règle permanente désactivée.,恒久ルールを無効にしました。,영구 규칙을 비활성화했습니다.,Regla permanente desactivada.
CUSTOM_RUN_SAVE_AS_PERMANENT,Save as Permanent,保存为永久规则,Enregistrer comme permanente,恒久ルールとして保存,영구 규칙으로 저장,Guardar como permanente
CUSTOM_RUN_SAVED_TO_PERMANENT,Saved '{0}' to Permanent Rules.,已将“{0}”保存到永久规则。,« {0} » enregistré dans les règles permanentes.,「{0}」を恒久ルールに保存しました。,'{0}'을(를) 영구 규칙에 저장했습니다.,Se guardó «{0}» en Reglas permanentes.
CUSTOM_RUN_SAVED_PERMANENT_RULE,Saved permanent rule '{0}'.,已保存永久规则“{0}”。,Règle permanente « {0} » enregistrée.,恒久ルール「{0}」を保存しました。,영구 규칙 '{0}'을(를) 저장했습니다.,Se guardó la regla permanente «{0}».
CUSTOM_RUN_DUPLICATED_PERMANENT_RULE,Duplicated permanent rule '{0}'.,已复制永久规则“{0}”。,Règle permanente « {0} » dupliquée.,恒久ルール「{0}」を複製しました。,영구 규칙 '{0}'을(를) 복제했습니다.,Se duplicó la regla permanente «{0}».
CUSTOM_RUN_DELETED_PERMANENT_RULE,Deleted permanent rule '{0}'.,已删除永久规则“{0}”。,Règle permanente « {0} » supprimée.,恒久ルール「{0}」を削除しました。,영구 규칙 '{0}'을(를) 삭제했습니다.,Se eliminó la regla permanente «{0}».
